name                                                                                                                                                                                                                                                                               , parse, generate, compile, error
modelset/raw-data/repo-ecore-all/data/acjimeneza/PyDslRepCode/PyDslRep/edu.ulibertadores.pydslrep/model/generated/Pyrep.ecore                                                                                                                         , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/acjimeneza/Pyrep/Pyrep/edu.ulibertadores.pyrep/model/generated/Pyrep.ecore                                                                                                                                      , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/acouvreur/master-2-ifi/idl/Projet/workspace/smarthome/model/smarthome.ecore                                                                                                                                     , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/adalrsjr1/k8s-monitoring/storage-clients/model/target/classes/model/model.ecore                                                                                                                                 , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adalrsjr1/k8s-monitoring/storage-clients/model/target/classes/model/model.ecore: unknown builtit class URL `http://www.eclipse.org/emf/2002/Ecore#//EBooleanObject`"
                                                                                                                                                                                                                                                                                                               failed to parse structural features,,,,
                                                                                                                                                                                                                                                                                                               failed to parse class `Service`,,,,
                                                                                                                                                                                                                                                                                                               line 22, column 150,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
                                                                                                                                                                                                                                                                                                               | ``,,,,
                                                                                                                                                                                                                                                                                                               | `  </eClassifiers>`,,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adam-sse/RoboModel/model/robo.ecore                                                                                                                                                                             , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adam-sse/RoboModel/model/robo.ecore: unexpected package content"
                                                                                                                                                                                                                                                                                                               line 80, column 3,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
"                                                                                                                                                                                                                                                                                                               | `<eSubpackages name=""""command"""" nsURI=""""http://www.example.org/robo/command"""" nsPrefix=""""command"""">`",,,,
"                                                                                                                                                                                                                                                                                                               | `    <eAnnotations source=""""http://www.eclipse.org/emf/2002/Ecore"""">`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adaussy/emf.compare.acceptance.tests/tests/emf.compare.q7.tests/resources/diagram/class/ts010_tc016/left.ecore                                                                                                  , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/adaussy/emf.compare.acceptance.tests/tests/emf.compare.q7.tests/resources/diagram/class/ts010_tc018/left2.ecore                                                                                                 , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adaussy/emf.compare.acceptance.tests/tests/emf.compare.q7.tests/resources/diagram/class/ts010_tc018/left2.ecore: unexpected package attribute `xmi:id`"
                                                                                                                                                                                                                                                                                                               expected one of `name` `nsURI` `nsPrefix` `xmi:version` `xmlns:xmi` `xmlns:xsi` `xmlns:ecore`,,,,
                                                                                                                                                                                                                                                                                                               line 3, column 68,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
"                                                                                                                                                                                                                                                                                                               | `name=""""model2"""" nsURI=""""http://model2/1.0"""" nsPrefix=""""model2"""">`",,,,
"                                                                                                                                                                                                                                                                                                               | `  <eClassifiers xsi:type=""""ecore:EClass"""" xmi:id=""""5"""" name=""""C""""/>`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adautofbn/pascal-xtext/edu.ufcg.compiladores.pascal/model/generated/Pascal.ecore                                                                                                                                , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adautofbn/pascal-xtext/edu.ufcg.compiladores.pascal/model/generated/Pascal.ecore: unsupported `eType` path `ecore:EClass http://www.eclipse.org/emf/2002/Ecore#//EObject`"
                                                                                                                                                                                                                                                                                                               failed to parse structural features,,,,
                                                                                                                                                                                                                                                                                                               failed to parse class `var_block`,,,,
                                                                                                                                                                                                                                                                                                               line 18, column 98,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
                                                                                                                                                                                                                                                                                                               | ``,,,,
                                                                                                                                                                                                                                                                                                               | `  </eClassifiers>`,,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adbetin/ClassLayout2Frontend/_archivo/Ciclo 3/co.classLayout2Frontend/model/classLayout2Frontend.ecore                                                                                                          , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adbetin/ClassLayout2Frontend/_archivo/Ciclo 3/co.classLayout2Frontend/model/classLayout2Frontend.ecore: unexpected package content"
                                                                                                                                                                                                                                                                                                               line 16, column 3,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
"                                                                                                                                                                                                                                                                                                               | `<eSubpackages name=""""Entities"""" nsURI=""""http://www.classlayout2frontend.com/entities""""`",,,,
"                                                                                                                                                                                                                                                                                                               | `      nsPrefix=""""entities"""">`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adbetin/ClassLayout2Frontend/co.classLayout2Frontend/model/classLayout2Frontend.ecore                                                                                                                           , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/adbetin/sirius-tutorial/org.eclipse.sirius.sample.basicfamily/model/basicfamily.ecore                                                                                                                           , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/adgo/qmate/MATE/org.tud.inf.st.mbt.emf/model/actions.ecore                                                                                                                                                      , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adgo/qmate/MATE/org.tud.inf.st.mbt.emf/model/actions.ecore: unsupported `eType` path `ecore:EClass http://www.eclipse.org/emf/2002/Ecore#//EObject`"
                                                                                                                                                                                                                                                                                                               failed to parse structural features,,,,
                                                                                                                                                                                                                                                                                                               failed to parse class `ActionReference`,,,,
                                                                                                                                                                                                                                                                                                               line 9, column 98,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
                                                                                                                                                                                                                                                                                                               | ``,,,,
                                                                                                                                                                                                                                                                                                               | `  </eClassifiers>`,,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adgo/qmate/MATE/org.tud.inf.st.mbt.emf/model/guigraph.ecore                                                                                                                                                     , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adgo/qmate/MATE/org.tud.inf.st.mbt.emf/model/guigraph.ecore: unsupported `eType` path `ecore:EClass mbt.ecore#//rules/Predicate`"
                                                                                                                                                                                                                                                                                                               failed to parse structural features,,,,
                                                                                                                                                                                                                                                                                                               failed to parse class `GuiGraph`,,,,
                                                                                                                                                                                                                                                                                                               line 10, column 29,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
                                                                                                                                                                                                                                                                                                               | ``,,,,
"                                                                                                                                                                                                                                                                                                               | `    <eStructuralFeatures xsi:type=""""ecore:EAttribute"""" name=""""invariantText"""" eType=""""ecore:EDataType http://www.eclipse.org/emf/2002/Ecore#//EString""""`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adilinam/EclipsePivotBasedQVTo/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.Uml2Xhtml.composite/model/SimpleUML.ecore                                                                                , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/adilinam/EclipsePivotBasedQVTo/org.eclipse.m2m.tests.qvt.oml/models/javaless.ecore                                                                                                                              , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adilinam/EclipsePivotBasedQVTo/org.eclipse.m2m.tests.qvt.oml/models/javaless.ecore: unexpected `eClassifiers` attribute `serializable`"
                                                                                                                                                                                                                                                                                                               line 272, column 27,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
                                                                                                                                                                                                                                                                                                               | `/>`,,,,
"                                                                                                                                                                                                                                                                                                               | `  <eClassifiers xsi:type=""""ecore:EDataType"""" name=""""EDouble"""" instanceClassName=""""double"""">`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adilinam/FYP-1-Final-Evaluation/org.eclipse.m2m.tests.qvt.oml/parserTestData/models/bug254962/expected.ecore                                                                                                    , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/adilinam/FYP-1-Final-Evaluation/org.eclipse.m2m.tests.qvt.oml/parserTestData/models/bug254962/in.ecore                                                                                                          , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adilinam/FYP-1-Final-Evaluation/org.eclipse.m2m.tests.qvt.oml/parserTestData/models/bug254962/in.ecore: unexpected package content"
                                                                                                                                                                                                                                                                                                               line 5, column 3,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
"                                                                                                                                                                                                                                                                                                               | `<eSubpackages name=""""sub"""" nsURI=""""http://sub"""" nsPrefix=""""sub"""">`",,,,
"                                                                                                                                                                                                                                                                                                               | `    <eClassifiers xsi:type=""""ecore:EClass"""" name=""""B""""/>`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/adilinam/QVTdCaseStudy/org.eclipse.ocl.examples.project.royalandloyal/oclsrc/RoyalAndLoyal/RoyalAndLoyal.ecore                                                                                                  , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/adilinam/QVTdCaseStudy/org.eclipse.ocl.examples.project.royalandloyal/oclsrc/RoyalAndLoyal/RoyalAndLoyal.ecore: unknown builtit class URL `http://www.eclipse.org/emf/2002/Ecore#//EDoubleObject`"
                                                                                                                                                                                                                                                                                                               failed to parse structural features,,,,
                                                                                                                                                                                                                                                                                                               failed to parse class `Transaction`,,,,
